Date,Location,Temperature,Humidity,WindSpeed,Pressure,Precipitation,Condition
2023-01-01,New York,32,65,12,1015.2,0.2,Sunny
01/02/2023,Los Angeles,68,45,8,1018.5,,Clear
2023-01-03,Chicago,25,70,15,1012.8,0.5,Snowy
2023-01-04,Houston,58,80,10,1016.3,0.8,Rainy
2023-01-05,Phoenix,75,30,5,1020.1,0,Sunny
2023-01-06,Seattle,48,85,18,1014.7,1.2,Rainy
01/07/2023,Miami,78,75,12,1017.5,0.3,Cloudy
2023-01-08,Denver,40,60,20,1013.2,0.4,Snowy
2023-01-09,Boston,35,68,14,1015.8,,Cloudy
2023-01-10,Atlanta,55,72,8,1016.9,0.1,Sunny
2023-01-11,Dallas,62,65,11,1018.2,0,Clear
01/12/2023,Portland,50,82,16,1014.5,0.9,Rainy
2023-01-13,Orlando,72,78,10,1017.8,0.2,Sunny
2023-01-14,Minneapolis,28,75,22,1012.5,0.6,Snowy
2023-01-15,San Diego,70,55,7,1019.3,,Clear
2023-01-16,Philadelphia,38,70,13,1015.4,0.3,Cloudy
01/17/2023,Phoenix,77,32,6,1020.5,0,Sunny
2023-01-18,Seattle,45,88,19,1014.2,1.5,Rainy
2023-01-19,Chicago,22,72,18,1012.0,0.7,Snowy
2023-01-20,Houston,60,82,9,1016.8,0.6,Rainy
